,sink_lag_65,sink_lag_64,sink_lag_63,sink_lag_62,sink_lag_61,sink_lag_60,sink_lag_59,sink_lag_58,sink_lag_57,sink_lag_56,sink_lag_55,sink_lag_54,sink_lag_53,sink_lag_52,sink_lag_51,sink_lag_50,sink_lag_49,sink_lag_48,sink_lag_47,sink_lag_46,sink_lag_45,sink_lag_44,sink_lag_43,sink_lag_42,sink_lag_41,sink_lag_40,sink_lag_39,sink_lag_38,sink_lag_37,sink_lag_36,sink_lag_35,sink_lag_34,sink_lag_33,sink_lag_32,sink_lag_31,sink_lag_30,sink_lag_29,sink_lag_28,sink_lag_27,sink_lag_26,sink_lag_25,sink_lag_24,sink_lag_23,sink_lag_22,sink_lag_21,sink_lag_20,sink_lag_19,sink_lag_18,sink_lag_17,sink_lag_16,sink_lag_15,sink_lag_14,sink_lag_13,sink_lag_12,sink_lag_11,sink_lag_10,sink_lag_9,sink_lag_8,sink_lag_7,sink_lag_6,sink_lag_5,sink_lag_4,sink_lag_3,sink_lag_2,sink_lag_1,source_lag_65,source_lag_64,source_lag_63,source_lag_62,source_lag_61,source_lag_60,source_lag_59,source_lag_58,source_lag_57,source_lag_56,source_lag_55,source_lag_54,source_lag_53,source_lag_52,source_lag_51,source_lag_50,source_lag_49,source_lag_48,source_lag_47,source_lag_46,source_lag_45,source_lag_44,source_lag_43,source_lag_42,source_lag_41,source_lag_40,source_lag_39,source_lag_38,source_lag_37,source_lag_36,source_lag_35,source_lag_34,source_lag_33,source_lag_32,source_lag_31,source_lag_30,source_lag_29,source_lag_28,source_lag_27,source_lag_26,source_lag_25,source_lag_24,source_lag_23,source_lag_22,source_lag_21,source_lag_20,source_lag_19,source_lag_18,source_lag_17,source_lag_16,source_lag_15,source_lag_14,source_lag_13,source_lag_12,source_lag_11,source_lag_10,source_lag_9,source_lag_8,source_lag_7,source_lag_6,source_lag_5,source_lag_4,source_lag_3,source_lag_2,source_lag_1
SettlementPointPrice,23.59,20.14,18.81,18.41,17.83,17.5,17.47,21.36,20.26,21.03,20.99,23.14,24.67,26.51,27.39,28.32,30.89,40.88,48.88,48.62,94.74,108.5,45.16,26.46,25.18,19.73,18.35,17.44,16.79,16.92,17.72,24.87,22.54,20.11,20.02,21.18,23.85,25.03,26.26,33.07,44.82,59.91,70.6,77.31,171.23,220.21,99.81,31.27,25.03,23.24,19.86,18.86,18.47,18.86,21.58,31.46,26.15,23.24,22.2,21.83,24.17,26.77,30.05,32.1,35.3,23.6,20.21,18.89,18.49,17.93,17.58,17.55,21.42,20.31,21.04,20.99,23.02,24.5,25.97,26.77,27.68,29.5,37.24,48.77,48.62,94.76,108.56,45.21,26.53,25.23,19.81,18.42,17.51,16.85,16.99,17.83,24.98,22.65,20.15,20.04,21.2,22.96,25.04,26.26,33.1,44.77,59.94,70.64,77.34,171.32,220.37,99.94,31.37,25.11,23.32,19.91,18.91,18.53,18.91,21.67,31.53,26.18,23.41,22.21,21.81,24.15,26.72,29.98,31.99,35.09
SettlementPointPrice,41.12,40.74,37.87,35.07,34.23,33.21,35.52,37.17,39.12,39.79,39.18,38.51,38.81,35.93,39.12,35.85,36.11,43.73,68.01,51.03,45.01,41.56,38.2,38.12,35.08,40.33,31.22,29.07,28.07,28.62,34.09,52.28,53.31,43.71,37.14,33.82,34.97,35.17,34.24,34.93,36.78,43.29,59.85,50.36,42.72,45.0,40.32,32.8,29.25,27.36,20.14,20.24,23.72,27.5,36.49,49.99,52.8,49.83,48.75,46.92,41.07,40.28,42.38,43.55,46.18,41.05,40.75,37.88,35.09,34.28,33.26,35.58,37.27,39.25,39.91,39.27,38.54,38.78,35.99,38.96,35.78,36.05,43.68,68.3,51.45,45.17,41.91,38.54,38.41,35.42,40.63,31.63,29.53,28.6,29.14,34.64,53.28,54.54,44.51,37.46,33.89,33.83,32.91,31.51,32.27,33.76,39.2,56.03,47.22,41.02,43.77,39.24,32.09,28.26,26.84,19.71,19.68,23.27,27.16,35.97,49.17,51.58,47.38,46.39,45.03,38.12,36.34,38.07,40.27,42.21
SettlementPointPrice,53.35,47.0,44.57,43.51,39.31,37.34,39.18,41.7,44.17,45.96,44.34,55.01,66.95,92.31,174.44,269.73,400.71,458.82,290.71,240.78,240.64,167.11,87.88,62.93,55.73,48.21,43.26,42.3,39.16,39.33,41.12,45.28,45.71,50.3,47.59,59.74,74.67,157.0,396.25,808.88,1449.31,1415.64,795.56,429.37,384.63,199.47,90.15,61.59,55.23,54.84,46.2,42.61,38.59,38.36,40.83,44.67,44.64,45.0,44.96,52.21,60.38,79.26,104.4,270.91,623.41,53.24,46.95,44.55,43.48,39.3,37.35,39.19,41.71,44.18,45.96,44.34,55.01,66.93,92.27,174.33,268.66,395.91,449.83,282.82,234.15,236.34,164.79,87.28,62.7,55.59,48.12,43.2,42.28,39.16,39.34,41.13,45.29,45.72,50.3,47.59,59.69,74.73,158.42,397.08,808.7,1434.85,1393.08,777.65,418.4,376.73,195.55,89.04,61.21,55.0,54.63,46.05,42.58,38.58,38.37,40.85,44.67,44.64,44.86,44.56,51.0,57.18,79.32,105.01,268.55,619.2
SettlementPointPrice,23.59,20.14,18.81,18.41,17.83,17.5,17.47,21.36,20.26,21.03,20.99,23.14,24.67,26.51,27.39,28.32,30.89,40.88,48.88,48.62,94.74,108.5,45.16,26.46,25.18,19.73,18.35,17.44,16.79,16.92,17.72,24.87,22.54,20.11,20.02,21.18,23.85,25.03,26.26,33.07,44.82,59.91,70.6,77.31,171.23,220.21,99.81,31.27,25.03,23.24,19.86,18.86,18.47,18.86,21.58,31.46,26.15,23.24,22.2,21.83,24.17,26.77,30.05,32.1,35.3,23.6,20.21,18.89,18.49,17.93,17.58,17.55,21.42,20.31,21.04,20.99,23.02,24.5,25.97,26.77,27.68,29.5,37.24,48.77,48.62,94.76,108.56,45.21,26.53,25.23,19.81,18.42,17.51,16.85,16.99,17.83,24.98,22.65,20.15,20.04,21.2,22.96,25.04,26.26,33.1,44.77,59.94,70.64,77.34,171.32,220.37,99.94,31.37,25.11,23.32,19.91,18.91,18.53,18.91,21.67,31.53,26.18,23.41,22.21,21.81,24.15,26.72,29.98,31.99,35.09
SettlementPointPrice,53.35,47.0,44.57,43.51,39.31,37.34,39.18,41.7,44.17,45.96,44.34,55.01,66.95,92.31,174.44,269.73,400.71,458.82,290.71,240.78,240.64,167.11,87.88,62.93,55.73,48.21,43.26,42.3,39.16,39.33,41.12,45.28,45.71,50.3,47.59,59.74,74.67,157.0,396.25,808.88,1449.31,1415.64,795.56,429.37,384.63,199.47,90.15,61.59,55.23,54.84,46.2,42.61,38.59,38.36,40.83,44.67,44.64,45.0,44.96,52.21,60.38,79.26,104.4,270.91,623.41,53.24,46.95,44.55,43.48,39.3,37.35,39.19,41.71,44.18,45.96,44.34,55.01,66.93,92.27,174.33,268.66,395.91,449.83,282.82,234.15,236.34,164.79,87.28,62.7,55.59,48.12,43.2,42.28,39.16,39.34,41.13,45.29,45.72,50.3,47.59,59.69,74.73,158.42,397.08,808.7,1434.85,1393.08,777.65,418.4,376.73,195.55,89.04,61.21,55.0,54.63,46.05,42.58,38.58,38.37,40.85,44.67,44.64,44.86,44.56,51.0,57.18,79.32,105.01,268.55,619.2
SettlementPointPrice,41.12,40.74,37.87,35.07,34.23,33.21,35.52,37.17,39.12,39.79,39.18,38.51,38.81,35.93,39.12,35.85,36.11,43.73,68.01,51.03,45.01,41.56,38.2,38.12,35.08,40.33,31.22,29.07,28.07,28.62,34.09,52.28,53.31,43.71,37.14,33.82,34.97,35.17,34.24,34.93,36.78,43.29,59.85,50.36,42.72,45.0,40.32,32.8,29.25,27.36,20.14,20.24,23.72,27.5,36.49,49.99,52.8,49.83,48.75,46.92,41.07,40.28,42.38,43.55,46.18,41.05,40.75,37.88,35.09,34.28,33.26,35.58,37.27,39.25,39.91,39.27,38.54,38.78,35.99,38.96,35.78,36.05,43.68,68.3,51.45,45.17,41.91,38.54,38.41,35.42,40.63,31.63,29.53,28.6,29.14,34.64,53.28,54.54,44.51,37.46,33.89,33.83,32.91,31.51,32.27,33.76,39.2,56.03,47.22,41.02,43.77,39.24,32.09,28.26,26.84,19.71,19.68,23.27,27.16,35.97,49.17,51.58,47.38,46.39,45.03,38.12,36.34,38.07,40.27,42.21
SettlementPointPrice,30.89,33.38,27.99,26.09,25.55,28.5,32.6,48.98,58.6,53.01,36.13,31.38,27.09,25.68,23.57,22.88,22.25,22.96,37.28,64.66,34.72,29.95,26.51,25.18,21.91,18.36,17.94,18.26,19.59,23.7,27.72,49.42,56.35,40.15,30.85,26.12,26.67,25.92,24.38,21.57,21.05,22.96,32.73,39.44,26.95,26.48,24.88,22.26,19.94,14.55,13.26,15.09,16.16,18.18,23.28,37.71,41.16,36.94,30.14,26.0,26.58,26.69,25.76,23.38,22.62,30.38,32.88,27.28,25.46,24.06,27.19,31.32,44.53,55.17,50.52,35.04,31.17,27.09,25.67,23.58,22.89,22.25,22.96,37.28,64.66,34.72,29.95,26.52,25.21,21.97,18.52,18.09,18.35,19.63,23.73,27.78,49.3,56.37,40.38,32.13,26.71,27.14,26.41,25.2,23.01,23.46,23.93,33.71,39.75,26.02,25.6,23.72,19.35,21.18,13.16,11.78,13.55,14.76,18.04,21.83,35.96,39.27,35.7,29.92,26.39,26.98,26.13,24.34,21.22,20.9
SettlementPointPrice,53.35,47.0,44.57,43.51,39.31,37.34,39.18,41.7,44.17,45.96,44.34,55.01,66.95,92.31,174.44,269.73,400.71,458.82,290.71,240.78,240.64,167.11,87.88,62.93,55.73,48.21,43.26,42.3,39.16,39.33,41.12,45.28,45.71,50.3,47.59,59.74,74.67,157.0,396.25,808.88,1449.31,1415.64,795.56,429.37,384.63,199.47,90.15,61.59,55.23,54.84,46.2,42.61,38.59,38.36,40.83,44.67,44.64,45.0,44.96,52.21,60.38,79.26,104.4,270.91,623.41,53.24,46.95,44.55,43.48,39.3,37.35,39.19,41.71,44.18,45.96,44.34,55.01,66.93,92.27,174.33,268.66,395.91,449.83,282.82,234.15,236.34,164.79,87.28,62.7,55.59,48.12,43.2,42.28,39.16,39.34,41.13,45.29,45.72,50.3,47.59,59.69,74.73,158.42,397.08,808.7,1434.85,1393.08,777.65,418.4,376.73,195.55,89.04,61.21,55.0,54.63,46.05,42.58,38.58,38.37,40.85,44.67,44.64,44.86,44.56,51.0,57.18,79.32,105.01,268.55,619.2
SettlementPointPrice,23.59,20.14,18.81,18.41,17.83,17.5,17.47,21.36,20.26,21.03,20.99,23.14,24.67,26.51,27.39,28.32,30.89,40.88,48.88,48.62,94.74,108.5,45.16,26.46,25.18,19.73,18.35,17.44,16.79,16.92,17.72,24.87,22.54,20.11,20.02,21.18,23.85,25.03,26.26,33.07,44.82,59.91,70.6,77.31,171.23,220.21,99.81,31.27,25.03,23.24,19.86,18.86,18.47,18.86,21.58,31.46,26.15,23.24,22.2,21.83,24.17,26.77,30.05,32.1,35.3,23.6,20.21,18.89,18.49,17.93,17.58,17.55,21.42,20.31,21.04,20.99,23.02,24.5,25.97,26.77,27.68,29.5,37.24,48.77,48.62,94.76,108.56,45.21,26.53,25.23,19.81,18.42,17.51,16.85,16.99,17.83,24.98,22.65,20.15,20.04,21.2,22.96,25.04,26.26,33.1,44.77,59.94,70.64,77.34,171.32,220.37,99.94,31.37,25.11,23.32,19.91,18.91,18.53,18.91,21.67,31.53,26.18,23.41,22.21,21.81,24.15,26.72,29.98,31.99,35.09
SettlementPointPrice,41.12,40.74,37.87,35.07,34.23,33.21,35.52,37.17,39.12,39.79,39.18,38.51,38.81,35.93,39.12,35.85,36.11,43.73,68.01,51.03,45.01,41.56,38.2,38.12,35.08,40.33,31.22,29.07,28.07,28.62,34.09,52.28,53.31,43.71,37.14,33.82,34.97,35.17,34.24,34.93,36.78,43.29,59.85,50.36,42.72,45.0,40.32,32.8,29.25,27.36,20.14,20.24,23.72,27.5,36.49,49.99,52.8,49.83,48.75,46.92,41.07,40.28,42.38,43.55,46.18,41.05,40.75,37.88,35.09,34.28,33.26,35.58,37.27,39.25,39.91,39.27,38.54,38.78,35.99,38.96,35.78,36.05,43.68,68.3,51.45,45.17,41.91,38.54,38.41,35.42,40.63,31.63,29.53,28.6,29.14,34.64,53.28,54.54,44.51,37.46,33.89,33.83,32.91,31.51,32.27,33.76,39.2,56.03,47.22,41.02,43.77,39.24,32.09,28.26,26.84,19.71,19.68,23.27,27.16,35.97,49.17,51.58,47.38,46.39,45.03,38.12,36.34,38.07,40.27,42.21
